coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
2084162,Johnson,,unknown,,"Agaricus rodmani",,Peck,,,,,,,urn:uuid:ad325c14-4da7-4cb7-aaa0-00735f03ddbc,"2015-03-16 12:49:37"
2084221,"H. D. Thiers",,unknown,,"Agaricus rodmani",,Peck,,,,,,,urn:uuid:b2bf6dff-d919-4ac4-81d5-eb2fb76543ad,"2015-03-16 12:57:57"
2311934,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:187e6ce3-2940-4b52-b407-95015d8f64da,"2015-03-17 13:40:14"
2311936,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:629518ff-721d-4c19-8d4e-0fc1e3024aa3,"2015-03-17 14:14:14"
2311943,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:68d98d31-97ab-4468-b79c-b728f4899cf6,"2015-03-17 14:14:55"
2311944,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:f35715db-d2a1-4358-a1ff-365998a54f4c,"2015-03-17 14:16:40"
2311956,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:8b0f4198-7a01-49d4-8501-3620404dead4,"2015-03-17 14:17:08"
2311958,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:48022e9f-45a8-4587-9b06-6c26c5f92c16,"2015-03-17 14:17:52"
2311959,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:75a01032-4d03-454a-93f6-0ba040e37e0b,"2015-03-17 14:18:28"
2311957,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:a3bc44cc-400f-4ab8-865a-1df1da782d28,"2015-03-17 14:19:12"
2311966,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:2ab53f7b-1ed1-47dc-9e82-c0f000ea7863,"2015-03-17 14:19:43"
2311969,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:4c12da86-3b5c-4082-8879-65452e815f10,"2015-03-17 14:20:06"
2311975,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:8161ad70-f58a-4254-8cd3-b5c39de17126,"2015-03-17 14:21:18"
2311935,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:cdced523-9fe6-49a4-91aa-09e3931d814f,"2015-03-17 14:22:38"
2311924,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:4432aabe-faa8-4967-bc94-32a20889ea08,"2015-03-17 14:35:07"
2311922,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:06b433e0-ee65-46f8-b37f-36280a6eb6ad,"2015-03-17 14:36:28"
2311978,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:9299b296-0231-48b2-aa2a-56ba386fd5af,"2015-03-17 14:37:00"
2311939,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:fa0fb5a1-2f2d-40a1-bc58-bb25bbac9102,"2015-03-17 14:38:36"
